Occupation,Salary Grade,Occupational Service Code,Occupational Group Code,Class ID
Telegraphic Transfer Service Officer II,15,05-TC,CDOR,TELTSO2
Test Specialist I,11,01-GA,HRM,TSP1
Test Specialist II,15,01-GA,HRM,TSP2
Test Specialist III,18,01-GA,HRM,TSP3
Test Technician I,6,01-GA,HRM,TTEC1
Test Technician II,8,01-GA,HRM,TTEC2
Textbook Editor,11,10-EL,ERPS,TEXED
Third Mate,13,05-TC,MTS,THM
Ticket Checker,3,02-FS,LTO,TCHK
Toolmaker Foreman,9,06-CT,MW,TLMF
Toolmaker General Foreman,11,06-CT,MW,TLMGF
Toolmaker I,4,06-CT,MW,TLMK1
Toolmaker II,6,06-CT,MW,TLMK2
Tourism Operations Assistant,7,12-TT,TO,TOA
Tourism Operations Officer I,11,12-TT,TO,TOO1
Tourism Operations Officer II,15,12-TT,TO,TOO2
Tourist Receptionist I,8,12-TT,TO,TR1
Tourist Receptionist II,10,12-TT,TO,TR2
Tourist Receptionist III,13,12-TT,TO,TR3
Toxicologist I,11,13-MP,C,TOX1
Toxicologist II,15,13-MP,C,TOX2
Toxicologist III,18,13-MP,C,TOX3
Tracer I,3,08-IA,I,TR
Trade Commissioner,29,12-TT,TIDR,TRCOM
Trade Control Examiner I,11,12-TT,TIDR,TRCE1
Trade Control Examiner II,15,12-TT,TIDR,TRCE2
Trade Control Examiner III,18,12-TT,TIDR,TRCE3
Trade-Industry Development Analyst,11,12-TT,TIDR,TRIDA
Trade-Industry Development Specialist,15,12-TT,TIDR,TRIDS
Traffic Aide I,3,14-DS,TRO,TRFA1
Traffic Aide II,5,14-DS,TRO,TRFA2
Traffic Aide III,7,14-DS,TRO,TRFA3
Traffic Operations Officer I,11,14-DS,TRO,TRFO01
Traffic Operations Officer II,15,14-DS,TRO,TRFOO2
Traffic Operations Officer II,18,14-DS,TRO,TRFOO3
Traffic Operations Officer IV,22,14-DS,TRO,TRFOO4
Traffic Operations Officer V,24,14-DS,TRO,TRFOO5
Training Assistant,8,10-EL,SPT,TRNA
Training Center Superintendent I,22,10-EL,STCA,TRNCS1
Training Center Superintendent II,24,10-EL,STCA,TRNCS2
Training Specialist I,11,10-EL,SPT,TRNSP1
Training Specialist II,15,10-EL,SPT,TRNSP2
Training Specialist III,18,10-EL,SPT,TRNSP3
Training Specialist IV,22,10-EL,SPT,TRNSP4
Training Specialist V,24,10-EL,SPT,TRNSP5
Translator I,8,08-IA,T,TRNS1
Translator II,11,08-IA,T,TRNS2
Transportation Development Officer I,11,05-TC,TDR,TRNSDO1
Transportation Development Officer II,15,05-TC,TDR,TRNSDO2
Transportation Inspector,8,05-TC,TDR,TRINSP
Transportation Regulation Officer I,11,05-TC,TDR,TRNSRO1
Transportation Regulation Officer II,15,05-TC,TDR,TRNSRO2
Treasurer of the Philippines,30,18-ES,OM,TREAS
Treasury Claims Processor I,6,02-FS,BFCP,TRECP1
Treasury Claims Processor II,8,02-FS,BFCP,TRECP2
Treasury Operations Assistant,9,02-FS,TREO,TROA
Treasury Operations Officer I,11,02-FS,TREO,TRO01
Treasury Operations Officer II,13,02-FS,TREO,TROO2
Treasury Operations Officer III,16,02-FS,TREO,TROO3
Treasury Operations Officer IV,19,02-FS,TREO,TRO04
Tree Marker,2,11-AA,FA,TMRK
Tribal Affairs Assistant I,5,07-SS,CAD,TAA1
Tribal Affairs Assistant II,8,07-SS,CAD,TAA2
Typesetter I,4,06-CT,PMO,TYPS1
Typesetter II,6,06-CT,PMO,TYPS2
Typesetter II,9,06-CT,PMO,TYPS3
Typesetter IV,11,06-CT,PMO,TYPS4
University Extension Associate I,12,10-EL,UES,UEXA1
University Extension Associate II,14,10-EL,UES,UEXA2
University Extension Specialist I,16,10-EL,UES,UEXSP1
University Extension Specialist II,18,10-EL,UES,UEXSP2
University Extension Specialist III,20,10-EL,UES,UEXSP3
University Extension Specialist IV,22,10-EL,UES,UEXSP4
University Extension Specialist V,24,10-EL,UES,UEXSP5
University Professor,30,10-EL,SCUT,UNIPROF
University Research Associate I,12,10-EL,URS,UNIRA1
University Research Associate II,14,10-EL,URS,UNIRA2
University Researcher I,16,10-EL,URS,UNIR1
University Researcher II,18,10-EL,URS,UNIR2
University Researcher III,20,10-EL,URS,UNIR3
University Researcher IV,22,10-EL,URS,UNIR4
University Researcher V,24,10-EL,URS,UNIR5
University Secretary I,28,10-EL,STCA,UNISEC1
University Secretary II,29,10-EL,STCA,UNISEC2
UP Executive Vice-President,30,10-EL,STCA,UPXVP
UP President,31,10-EL,STCA,UPREX
UP Vice-President,29,10-EL,STCA,UPVEEP
Utility Worker I,1,06-CT,GUS,UTW1
Utility Worker II,3,06-CT,GUS,UTW2
Utility Foreman,6,06-CT,GUS,UTF
Venom Extractor,4,06-CT,LS,VENEX
Veterans Assistance Officer I,11,07-SS,VA,VETAO1
Veterans Assistance Officer II,15,07-SS,VA,VETAO2
Veterinarian I,13,09-MH,V,VET1
Veterinarian II,16,09-MH,V,VET2
Veterinarian III,19,09-MH,V,VET3
Veterinarian IV,22,09-MH,V,VET4
Veterinarian V,24,09-MH,V,VET5
Veterinarian VI,26,09-MH,V,VET6
Veterinarian VII,28,09-MH,V,VET7
Vice President of the Philippines,32,18-ES,CE,VEEP
Vice-Presidential Staff Officer I,11,01-GA,EJLS,VPSO1
Vice-Presidential Staff Officer II,13,01-GA,EJLS,VPSO2
Vice-Presidential Staff Officer III,16,01-GA,EJLS,VPSO3
Vice-Presidential Staff Officer IV,19,01-GA,EJLS,VPSO4
Vice-Presidential Staff Officer V,22,01-GA,EJLS,VPSO5
Vice-Presidential Staff Officer VI,24,01-GA,EJLS,VPSO6V
Virologist,11,13-MP,BT,VIRO
Vocational Instruction Supervisor I,16,10-EL,SCUT,VOCIS1
Vocational Instruction Supervisor II,17,10-EL,SCUT,VOCIS2
Vocational Instruction Supervisor III,18,10-EL,SCUT,VOCIS3
Vocational Placement Coordinator I,13,10-EL,ERPS,VOCPC1
Vocational Placement Coordinator II,15,10-EL,ERPS,VOCPC2
Vocational Placement Coordinator III,18,10-EL,ERPS,VOCPC3
Vocational School Administrator I,22,10-EL,STCA,VOCSA1
Vocational School Administrator II,23,10-EL,STCA,VOCSA2
Vocational School Administrator III,24,10-EL,STCA,VOCSA3
Vocational School Dean,24,10-EL,STCA,VOCSD
Vocational School Department Head,20,10-EL,ERPS,VOCSDH
Vocational School Superintendent I,25,10-EL,STCA,VOCSS1
Vocational School Superintendent II,26,10-EL,STCA,VOCSS2
Volunteer Service Officer I,10,07-SS,SWD,VOLSO1
Volunteer Service Officer II,14,07-SS,SWD,VOLSO2
Waiter I,2,17-MS,FOS,WAIT1
Waiter II,4,17-MS,FOS,WAIT2
Ward Assistant,7,09-MH,N,WARDA
Wardress I,5,14-DS,CSS,WARD1
Wardress II,7,14-DS,CSS,WARD2
Warehouse Inspector,7,01-GA,SUM,WHI
Warehouseman I,6,01-GA,SUM,WH1
Warehouseman II,8,01-GA,SUM,WH2
Warehouseman III,11,01-GA,SUM,WH3
Warehouseman IV,13,01-GA,SUM,WH4
Watchman I,2,14-DS,CSS,WCHM1
Watchman II,4,14-DS,CSS,WCHM2
Watchman III,7,14-DS,CSS,WCHM3
Water Pump Operator,4,05-TC,PUAR,WPO
Water Resources Development Officer I,12,04-AE,WRSD,WRDO1
Water Resources Development Officer II,16,04-AE,WRSD,WRDO2
Water System Development Assistant,8,04-AE,WRSD,WSDA
Water System Development Officer I,12,04-AE,WRSD,WSDO1
Water System Development Officer II,16,04-AE,WRSD,WSDO2
Water System Development Officer III,19,04-AE,WRSD,WSDO3
Waterworks Superintendent I,18,05-TC,PUAR,WWS1
Waterworks Superintendent II,22,05-TC,PUAR,WWS2
Waterworks Supervisor,14,05-TC,PUAR,WWS
Waterworks Technician,6,05-TC,PUAR,WWT
Weather Facilities Specialist I,15,13-MP,WO,WFS1
Weather Facilities Specialist II,17,13-MP,WO,WFS2
Weather Facilities Specialist III,19,13-MP,WO,WFS3
Weather Facilities Technician I,9,13-MP,WO,WFT1
Weather Facilities Technician II,11,13-MP,WO,WFT2
Weather Facilities Technician III,13,13-MP,WO,WFT3
Weather Observation Aide,4,13-MP,WO,WOA
Weather Observer I,9,13-MP,WO,WOB1
Weather Observer II,11,13-MP,WO,WOB2
Weather Observer III,13,13-MP,WO,WOB3
Weather Observer IV,15,13-MP,WO,WOB4
Weather Services Chief,24,13-MP,WO,WSCH
Weather Specialist I,15,13-MP,WO,WSP1
Weather Specialist II,17,13-MP,WO,WSP2
Welder Foreman,9,06-CT,MW,WELDF
Welder I,4,06-CT,MW,WELD1
Welder II,6,06-CT,MW,WELD2
Well Driller I,3,06-CT,GUS,WD1
Well Driller II,5,06-CT,GUS,WD2
Well Drilling Supervisor I,9,06-CT,GUS,WDS1
Well Drilling Supervisor II,10,06-CT,GUS,WDS2
Work Order Tracer,3,08-IA,PAD,WOT
Youth Development Assistant I,5,07-SS,SWD,YDA1
Youth Development Assistant II,8,07-SS,SWD,YDA2
Youth Development Officer I,10,07-SS,SWD,YD01
Youth Development Officer II,14,07-SS,SWD,YD02
Youth Development Officer III,18,07-SS,SWD,YDO3
Youth Development Officer IV,22,07-SS,SWD,YD04
Youth Development Officer V,24,07-SS,SWD,YD05
Zoning Inspector I,6,04-AE,04-AE,ZI1
Zoning Inspector II,8,04-AE,04-AE,ZI2
Zoning Officer I,11,04-AE,04-AE,Z01
Zoning Officer II,15,04-AE,SZ,ZO2
Zoning Officer III,18,04-AE,SZ,ZO3
Zoning Officer IV,22,04-AE,04-AE,ZO4
Zoologist I,11,13-MP,13-MP,ZOOL1
Zoologist II,15,13-MP,13-MP,ZOOL2
Zoologist III,18,13-MP,13-MP,ZOOL3
Zoologist IV,22,13-MP,13-MP,ZOOL4
Zoologist V,24,13-MP,13-MP,ZOOL5
Zoology Technician,6,13-MP,13-MP,ZOOT
